% Experiment Date: 2026-07-22 16:21:54
% Sweep: -1.000000e-03 A to 1.000000e-03 A (51 points)
Channel_Set,Current_A,Measured_Voltage_V
3_4_3_4,-1.000000e-03,9.900000e+37
3_4_3_4,-9.600000e-04,9.900000e+37
3_4_3_4,-9.200000e-04,9.900000e+37
3_4_3_4,-8.800000e-04,9.900000e+37
3_4_3_4,-8.400000e-04,9.900000e+37
3_4_3_4,-8.000000e-04,9.900000e+37
3_4_3_4,-7.600000e-04,9.900000e+37
3_4_3_4,-7.200000e-04,9.900000e+37
3_4_3_4,-6.800000e-04,9.900000e+37
3_4_3_4,-6.400000e-04,9.900000e+37
3_4_3_4,-6.000000e-04,9.900000e+37
3_4_3_4,-5.600000e-04,9.900000e+37
3_4_3_4,-5.200000e-04,9.900000e+37
3_4_3_4,-4.800000e-04,9.900000e+37
3_4_3_4,-4.400000e-04,9.900000e+37
3_4_3_4,-4.000000e-04,9.900000e+37
3_4_3_4,-3.600000e-04,9.900000e+37
3_4_3_4,-3.200000e-04,9.900000e+37
3_4_3_4,-2.800000e-04,9.900000e+37
3_4_3_4,-2.400000e-04,9.900000e+37
3_4_3_4,-2.000000e-04,9.900000e+37
3_4_3_4,-1.600000e-04,9.900000e+37
3_4_3_4,-1.200000e-04,9.900000e+37
3_4_3_4,-8.000000e-05,9.900000e+37
3_4_3_4,-4.000000e-05,9.900000e+37
3_4_3_4,0.000000e+00,2.336199e-04
3_4_3_4,4.000000e-05,9.900000e+37
3_4_3_4,8.000000e-05,9.900000e+37
3_4_3_4,1.200000e-04,9.900000e+37
3_4_3_4,1.600000e-04,9.900000e+37
3_4_3_4,2.000000e-04,9.900000e+37
3_4_3_4,2.400000e-04,9.900000e+37
3_4_3_4,2.800000e-04,9.900000e+37
3_4_3_4,3.200000e-04,9.900000e+37
3_4_3_4,3.600000e-04,9.900000e+37
3_4_3_4,4.000000e-04,9.900000e+37
3_4_3_4,4.400000e-04,9.900000e+37
3_4_3_4,4.800000e-04,9.900000e+37
3_4_3_4,5.200000e-04,9.900000e+37
3_4_3_4,5.600000e-04,9.900000e+37
