% Experiment Date: 2026-07-22 16:31:56
% Sweep: -1.000000e-04 A to 1.000000e-04 A (51 points)
Channel_Set,Current_A,Measured_Voltage_V
3_4_3_4,-1.000000e-04,-1.043009e+01
3_4_3_4,-9.600000e-05,-1.043038e+01
3_4_3_4,-9.200000e-05,-1.043011e+01
3_4_3_4,-8.800000e-05,-1.042950e+01
3_4_3_4,-8.400000e-05,-1.043038e+01
3_4_3_4,-8.000000e-05,-1.042986e+01
3_4_3_4,-7.600000e-05,-1.043012e+01
3_4_3_4,-7.200000e-05,-1.043009e+01
3_4_3_4,-6.800000e-05,-1.043053e+01
3_4_3_4,-6.400000e-05,-1.043078e+01
3_4_3_4,-6.000000e-05,-1.043022e+01
3_4_3_4,-5.600000e-05,-1.043012e+01
3_4_3_4,-5.200000e-05,-1.043070e+01
3_4_3_4,-4.800000e-05,-1.043051e+01
3_4_3_4,-4.400000e-05,-1.043066e+01
3_4_3_4,-4.000000e-05,-1.043016e+01
3_4_3_4,-3.600000e-05,-1.043057e+01
3_4_3_4,-3.200000e-05,-1.043013e+01
3_4_3_4,-2.800000e-05,-1.042982e+01
3_4_3_4,-2.400000e-05,-1.043042e+01
3_4_3_4,-2.000000e-05,-1.043020e+01
3_4_3_4,-1.600000e-05,-1.043067e+01
3_4_3_4,-1.200000e-05,-1.043063e+01
3_4_3_4,-8.000000e-06,-1.043011e+01
3_4_3_4,-4.000000e-06,-1.043060e+01
3_4_3_4,0.000000e+00,-1.035956e+01
3_4_3_4,4.000000e-06,8.576909e+00
3_4_3_4,8.000000e-06,1.033374e+01
3_4_3_4,1.200000e-05,1.033457e+01
3_4_3_4,1.600000e-05,1.033391e+01
3_4_3_4,2.000000e-05,1.033412e+01
3_4_3_4,2.400000e-05,1.033401e+01
3_4_3_4,2.800000e-05,1.033423e+01
3_4_3_4,3.200000e-05,1.033381e+01
3_4_3_4,3.600000e-05,1.033423e+01
3_4_3_4,4.000000e-05,1.033372e+01
3_4_3_4,4.400000e-05,1.033410e+01
3_4_3_4,4.800000e-05,1.033383e+01
3_4_3_4,5.200000e-05,1.033370e+01
3_4_3_4,5.600000e-05,1.033374e+01
3_4_3_4,6.000000e-05,1.033398e+01
3_4_3_4,6.400000e-05,1.033424e+01
3_4_3_4,6.800000e-05,1.033436e+01
3_4_3_4,7.200000e-05,1.033422e+01
3_4_3_4,7.600000e-05,1.033408e+01
3_4_3_4,8.000000e-05,1.033409e+01
3_4_3_4,8.400000e-05,1.033386e+01
3_4_3_4,8.800000e-05,1.033434e+01
3_4_3_4,9.200000e-05,1.033378e+01
3_4_3_4,9.600000e-05,1.033422e+01
3_4_3_4,1.000000e-04,1.033390e+01
