% Experiment Date: 2026-07-22 16:34:23
% DC Current: 1.000000e-04 A
Time_s,7_8_9_10
0.000005,4.581275e+01
0.205180,4.579879e+01
0.405547,4.580300e+01
0.610486,4.580937e+01
0.814872,4.581070e+01
1.018546,4.580441e+01
1.224126,4.581298e+01
1.433097,4.582072e+01
1.642669,4.582748e+01
1.849612,4.583995e+01
2.059627,4.583349e+01
2.271015,4.585431e+01
2.471885,4.583908e+01
2.678692,4.585631e+01
2.882920,4.585922e+01
3.083719,4.584168e+01
3.289554,4.584561e+01
3.495667,4.585484e+01
3.700521,4.585032e+01
3.900859,4.586327e+01
4.103446,4.584478e+01
4.307638,4.585211e+01
4.507812,4.586543e+01
4.718196,4.585466e+01
4.918840,4.586639e+01
5.118864,4.587786e+01
5.324260,4.587356e+01
5.539763,4.587789e+01
5.747394,4.588964e+01
5.952672,4.587067e+01
6.155593,4.588235e+01
6.363319,4.587972e+01
6.563393,4.588853e+01
6.764087,4.590150e+01
6.974100,4.588928e+01
7.178111,4.588195e+01
7.387764,4.589919e+01
7.601583,4.588623e+01
7.807385,4.589431e+01
8.007425,4.588333e+01
8.214775,4.588598e+01
8.421644,4.589649e+01
8.629177,4.587553e+01
8.840539,4.587702e+01
9.040621,4.588948e+01
9.248449,4.589270e+01
9.448854,4.589184e+01
9.649250,4.588681e+01
9.850509,4.589232e+01
10.059845,4.589973e+01
10.260701,4.588876e+01
10.460732,4.589106e+01
10.667303,4.589516e+01
10.872616,4.589820e+01
11.081524,4.589976e+01
11.284524,4.590279e+01
11.486503,4.590220e+01
11.690890,4.590362e+01
11.893418,4.589520e+01
12.094720,4.589054e+01
12.300461,4.590577e+01
12.512743,4.590902e+01
12.712766,4.591218e+01
12.920481,4.591008e+01
13.128573,4.591670e+01
13.336144,4.590202e+01
13.544978,4.590668e+01
13.745212,4.592150e+01
13.950736,4.592243e+01
14.151680,4.590960e+01
14.359103,4.593109e+01
14.570522,4.591702e+01
14.779874,4.591734e+01
14.990139,4.592403e+01
15.197574,4.592829e+01
15.405841,4.593847e+01
15.615716,4.592612e+01
15.820465,4.593947e+01
16.027825,4.593615e+01
16.230124,4.593045e+01
16.430155,4.593961e+01
16.639303,4.593397e+01
16.845737,4.593217e+01
17.045755,4.592533e+01
17.249267,4.593901e+01
17.455709,4.593519e+01
17.660129,4.593223e+01
17.871914,4.593279e+01
18.072761,4.594681e+01
18.282630,4.594981e+01
18.490507,4.593683e+01
18.700304,4.594208e+01
18.909414,4.593613e+01
19.117524,4.593899e+01
19.323227,4.593652e+01
19.532095,4.594093e+01
19.732122,4.594385e+01
19.932167,4.594425e+01
20.135752,4.594194e+01
20.344696,4.593947e+01
20.544776,4.594445e+01
20.744867,4.594579e+01
20.944896,4.594809e+01
