% Experiment Date: 2026-07-22 16:34:57
% DC Current: 1.000000e-04 A
Time_s,7_8_9_10
0.000006,4.593356e+01
0.207471,4.593284e+01
0.417200,4.591566e+01
0.622663,4.591176e+01
0.829744,4.592657e+01
1.040104,4.591589e+01
1.243333,4.592461e+01
1.450229,4.593114e+01
1.650495,4.592845e+01
1.850680,4.593799e+01
2.057970,4.594414e+01
2.258005,4.594941e+01
2.465397,4.593798e+01
2.669553,4.593727e+01
2.876177,4.593591e+01
3.088465,4.594551e+01
3.292179,4.594669e+01
3.492253,4.594813e+01
3.692283,4.594557e+01
3.897961,4.595620e+01
4.099769,4.598825e+01
4.304133,4.596993e+01
4.513908,4.597181e+01
4.717222,4.596724e+01
4.917431,4.597616e+01
5.120031,4.597424e+01
5.326878,4.596437e+01
5.526942,4.596859e+01
5.737748,4.597052e+01
5.937863,4.598028e+01
6.138009,4.597975e+01
6.338139,4.596377e+01
6.539069,4.597845e+01
6.748506,4.597664e+01
6.949079,4.597862e+01
7.149111,4.598069e+01
7.350643,4.596964e+01
7.559346,4.597907e+01
7.766794,4.598545e+01
7.975327,4.599198e+01
8.184753,4.598777e+01
8.389406,4.599704e+01
8.590530,4.598844e+01
8.790560,4.599212e+01
8.991095,4.600734e+01
9.197387,4.599661e+01
9.397486,4.599098e+01
9.600220,4.598678e+01
9.809227,4.598717e+01
10.018223,4.599175e+01
10.218253,4.599511e+01
10.418289,4.600175e+01
10.618760,4.600691e+01
10.818795,4.602286e+01
11.026344,4.601128e+01
11.226572,4.601423e+01
11.426702,4.600135e+01
11.636015,4.601191e+01
11.836826,4.601566e+01
12.046275,4.602406e+01
12.255059,4.602395e+01
12.458013,4.602097e+01
12.663505,4.601432e+01
12.869872,4.602910e+01
13.070031,4.602478e+01
13.270166,4.602710e+01
13.477385,4.603582e+01
13.685757,4.604350e+01
13.886883,4.603231e+01
14.088000,4.603563e+01
14.288339,4.602908e+01
14.488372,4.604036e+01
14.689471,4.603476e+01
14.897995,4.603285e+01
15.106277,4.603220e+01
15.315676,4.603305e+01
15.523628,4.603932e+01
15.726199,4.603750e+01
15.935895,4.602812e+01
16.138992,4.603640e+01
16.348472,4.604477e+01
16.556884,4.604572e+01
16.762148,4.605218e+01
16.963050,4.605059e+01
